id,Label
0,13
1,15
2,18
3,8
4,7
5,18
6,19
7,21
8,5
9,5
10,2
11,2
12,16
13,18
14,20
15,20
16,7
17,21
18,18
19,9
20,20
21,18
22,11
23,11
24,7
25,6
26,6
27,2
28,18
29,8
30,10
31,15
32,7
33,18
34,16
35,22
36,20
37,6
38,7
39,11
40,7
41,18
42,11
43,6
44,15
45,1
46,18
47,15
48,2
49,15
50,7
51,15
52,15
53,7
54,21
55,8
56,7
57,7
58,7
59,13
60,18
61,21
62,7
63,15
64,1
65,18
66,4
67,20
68,11
69,15
70,5
71,15
72,15
73,16
74,7
75,18
76,21
77,13
78,11
79,11
80,18
81,8
82,6
83,7
84,19
85,3
86,18
87,2
88,7
89,18
90,5
91,4
92,15
93,1
94,18
95,16
96,11
97,13
98,15
99,1
100,18
101,22
102,16
103,15
104,6
105,7
106,21
107,7
108,7
109,20
110,11
111,18
112,14
113,3
114,18
115,22
116,18
117,21
118,3
119,15
120,18
121,16
122,20
123,7
124,5
125,18
126,6
127,18
128,7
129,20
130,11
131,20
132,18
133,7
134,16
135,4
136,21
137,7
138,15
139,1
140,1
141,5
142,7
143,11
144,20
145,22
146,7
147,21
148,18
149,18
150,15
151,7
152,15
153,6
154,11
155,21
156,7
157,18
158,21
159,7
160,18
161,21
162,19
163,18
164,21
165,11
166,15
167,20
168,16
169,6
170,20
171,18
172,20
173,18
174,15
175,14
176,18
177,21
178,2
179,15
180,6
181,21
182,7
183,6
184,15
185,21
186,19
187,21
188,7
189,8
190,11
191,7
192,5
193,15
194,7
195,7
196,18
197,7
198,18
199,16
200,15
201,16
202,13
203,18
204,15
205,18
206,20
207,18
208,21
209,7
210,8
211,5
212,11
213,20
214,15
215,15
216,20
217,6
218,5
219,7
220,16
221,11
222,18
223,18
224,6
225,1
226,13
227,18
228,2
229,18
230,18
231,7
232,7
233,7
234,15
235,15
236,16
237,1
238,15
239,21
240,21
241,5
242,18
243,8
244,21
245,7
246,20
247,0
248,11
249,1
250,21
251,18
252,15
253,20
254,21
255,21
256,15
257,21
258,21
259,7
260,15
261,1
262,7
263,7
264,15
265,20
266,7
267,1
268,5
269,1
270,15
271,21
272,2
273,1
274,5
275,4
276,0
277,18
278,15
279,3
280,11
281,7
282,18
283,3
284,8
285,11
286,15
287,21
288,20
289,21
290,15
291,18
292,7
293,9
294,11
295,21
296,18
297,19
298,16
299,18
300,18
301,6
302,18
303,19
304,8
305,8
306,2
307,7
308,22
309,15
310,21
311,17
312,6
313,15
314,16
315,5
316,2
317,20
318,11
319,18
320,2
321,20
322,7
323,18
324,19
325,22
326,18
327,4
328,11
329,6
330,15
331,20
332,18
333,2
334,11
335,7
336,8
337,7
338,7
339,21
340,18
341,18
342,7
343,19
344,18
345,6
346,1
347,18
348,18
349,19
350,4
351,2
352,13
353,7
354,10
355,18
356,18
357,21
358,18
359,15
360,18
361,20
362,15
363,3
364,2
365,1
366,1
367,7
368,18
369,1
370,11
371,20
372,2
373,9
374,15
375,7
376,7
377,7
378,18
379,9
380,5
381,9
382,20
383,7
384,16
385,21
386,19
387,7
388,6
389,18
390,7
391,20
392,16
393,7
394,21
395,15
396,15
397,7
398,20
399,15
400,16
401,6
402,11
403,15
404,7
405,13
406,20
407,15
408,11
409,15
410,18
411,18
412,18
413,6
414,7
415,12
416,2
417,2
418,18
419,6
420,18
421,15
422,18
423,15
424,18
425,21
426,7
427,20
428,20
429,11
430,2
431,15
432,21
433,7
434,18
435,5
436,15
437,15
438,16
439,19
440,15
441,6
442,21
443,20
444,15
445,2
446,20
447,15
448,7
449,7
450,12
451,20
452,16
453,3
454,15
455,15
456,15
457,18
458,11
459,14
460,7
461,6
462,2
463,4
464,5
465,18
466,11
467,18
468,1
469,2
470,7
471,12
472,1
473,18
474,19
475,8
476,18
477,18
478,3
479,14
480,20
481,7
482,20
483,7
484,15
485,16
486,20
487,2
488,15
489,22
490,2
491,6
492,18
493,13
494,21
495,5
496,19
497,7
498,11
499,21
500,3
501,21
502,7
503,7
504,2
505,18
506,8
507,2
508,18
509,21
510,16
511,21
512,21
513,18
514,20
515,1
516,7
517,20
518,18
519,17
520,20
521,21
522,11
523,15
524,11
525,1
526,20
527,15
528,17
529,7
530,18
531,1
532,18
533,20
534,21
535,6
536,18
537,7
538,7
539,11
540,15
541,6
542,15
543,18
544,22
545,15
546,8
547,21
548,21
549,7
550,8
551,17
552,16
553,11
554,21
555,6
556,18
557,18
558,21
559,2
560,8
561,8
562,22
563,5
564,11
565,2
566,18
567,2
568,18
569,2
570,7
571,18
572,5
573,15
574,19
575,7
576,16
577,2
578,21
579,18
580,7
581,19
582,2
583,5
584,2
585,2
586,13
587,18
588,18
589,15
590,18
591,7
592,18
593,21
594,7
595,20
596,6
597,11
598,20
599,19
600,18
601,21
602,1
603,15
604,6
605,15
606,2
607,13
608,21
609,2
610,7
611,11
612,21
613,18
614,7
615,11
616,11
617,6
618,1
619,21
620,21
621,7
622,18
623,8
624,16
625,18
626,15
627,7
628,0
629,8
630,6
631,3
632,13
633,18
634,7
635,7
636,15
637,11
638,21
639,7
640,15
641,1
642,21
643,12
644,7
645,19
646,18
647,15
648,2
649,19
650,18
651,22
652,2
653,0
654,15
655,2
656,13
657,18
658,8
659,11
660,6
661,20
662,11
663,18
664,2
665,16
666,18
667,5
668,18
669,11
670,2
671,16
672,15
673,1
674,11
675,12
676,16
677,16
678,21
679,2
680,18
681,17
682,14
683,4
684,18
685,7
686,18
687,8
688,3
689,2
690,5
691,21
692,6
693,20
694,1
695,5
696,18
697,11
698,2
699,7
700,21
701,6
702,5
703,22
704,11
705,21
706,11
707,19
708,19
709,7
710,20
711,22
712,18
713,15
714,21
715,11
716,1
717,7
718,15
719,16
720,21
721,15
722,15
723,2
724,18
725,18
726,11
727,18
728,13
729,11
730,7
731,22
732,18
733,19
734,5
735,16
736,7
737,22
738,11
739,7
740,21
741,18
742,7
743,7
744,18
745,18
746,18
747,2
748,18
749,20
750,7
751,2
752,16
753,4
754,1
755,7
756,15
757,7
758,7
759,18
760,12
761,7
762,21
763,18
764,7
765,20
766,15
767,20
768,15
769,21
770,15
771,21
772,11
773,7
774,1
775,11
776,2
777,7
778,6
779,21
780,15
781,21
782,11
783,9
784,16
785,20
786,8
787,15
788,5
789,16
790,11
791,5
792,7
793,18
794,20
795,18
796,18
797,18
798,18
799,2
800,13
801,15
802,16
803,11
804,7
805,7
806,2
807,2
808,22
809,1
810,20
811,20
812,18
813,18
814,11
815,15
816,1
817,1
818,11
819,16
820,18
821,5
822,8
823,20
824,7
825,1
826,7
827,21
828,5
829,3
830,19
831,3
832,21
833,7
834,21
835,20
836,8
837,18
838,6
839,20
840,9
841,15
842,8
843,1
844,7
845,9
846,15
847,21
848,20
849,9
850,20
851,5
852,18
853,12
854,16
855,1
856,7
857,5
858,20
859,7
860,7
861,15
862,16
863,9
864,21
865,18
866,12
867,5
868,21
869,1
870,18
871,19
872,7
873,21
874,7
875,10
876,15
877,15
878,20
879,11
880,7
881,2
882,5
883,20
884,7
885,18
886,7
887,21
888,15
889,18
890,18
891,7
892,1
893,3
894,21
895,5
896,7
897,3
898,1
899,7
900,2
901,15
902,16
903,21
904,18
905,19
906,2
907,2
908,20
909,8
910,2
911,15
912,2
913,18
914,18
915,4
916,15
917,15
918,18
919,7
920,11
921,20
922,11
923,18
924,18
925,18
926,18
